=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 10:19:22 CST

==> Running train_attack_blend_resnet_celeba_0.1_blend_no_smooth_epoch48.pt
Start time: 2025年 08月 07日 星期四 10:19:22 CST
using fraction:  1
[NC][t=0][r=0] step 50/800 | CE=0.0000 | L1=0.48865 | TV=0.00094
[NC][t=0][r=0] step 100/800 | CE=0.0000 | L1=0.46254 | TV=0.00225
[NC][t=0][r=0] step 150/800 | CE=0.0000 | L1=0.43409 | TV=0.00343
[NC][t=0][r=0] step 200/800 | CE=0.0000 | L1=0.40407 | TV=0.00436
[NC][t=0][r=0] step 250/800 | CE=0.0000 | L1=0.37345 | TV=0.00505
[NC][t=0][r=0] step 300/800 | CE=0.0000 | L1=0.34307 | TV=0.00550
[NC][t=0][r=0] step 350/800 | CE=0.0000 | L1=0.31360 | TV=0.00574
[NC][t=0][r=0] step 400/800 | CE=0.0000 | L1=0.28553 | TV=0.00582
[NC][t=0][r=0] step 450/800 | CE=0.0000 | L1=0.25914 | TV=0.00576
[NC][t=0][r=0] step 500/800 | CE=0.0000 | L1=0.23460 | TV=0.00561
[NC][t=0][r=0] step 550/800 | CE=0.0000 | L1=0.21789 | TV=0.00545
[NC][t=0][r=0] step 600/800 | CE=0.0000 | L1=0.21554 | TV=0.00542
[NC][t=0][r=0] step 650/800 | CE=0.0000 | L1=0.21302 | TV=0.00539
[NC][t=0][r=0] step 700/800 | CE=0.0000 | L1=0.21033 | TV=0.00536
[NC][t=0][r=0] step 750/800 | CE=0.0000 | L1=0.20746 | TV=0.00533
[NC][t=0][r=0] step 800/800 | CE=0.0000 | L1=0.20443 | TV=0.00529
[NC][t=0][r=1] step 50/800 | CE=0.0000 | L1=0.49878 | TV=0.00079
[NC][t=0][r=1] step 100/800 | CE=0.0000 | L1=0.49571 | TV=0.00082
[NC][t=0][r=1] step 150/800 | CE=0.0000 | L1=0.49195 | TV=0.00092
[NC][t=0][r=1] step 200/800 | CE=0.0000 | L1=0.48769 | TV=0.00108
[NC][t=0][r=1] step 250/800 | CE=0.0000 | L1=0.48300 | TV=0.00127
[NC][t=0][r=1] step 300/800 | CE=0.0000 | L1=0.47792 | TV=0.00150
[NC][t=0][r=1] step 350/800 | CE=0.0000 | L1=0.47248 | TV=0.00174
[NC][t=0][r=1] step 400/800 | CE=0.0000 | L1=0.46669 | TV=0.00200
[NC][t=0][r=1] step 450/800 | CE=0.0000 | L1=0.46056 | TV=0.00226
[NC][t=0][r=1] step 500/800 | CE=0.0000 | L1=0.45411 | TV=0.00253
[NC][t=0][r=1] step 550/800 | CE=0.0000 | L1=0.44919 | TV=0.00272
[NC][t=0][r=1] step 600/800 | CE=0.0000 | L1=0.44845 | TV=0.00275
[NC][t=0][r=1] step 650/800 | CE=0.0000 | L1=0.44766 | TV=0.00278
[NC][t=0][r=1] step 700/800 | CE=0.0000 | L1=0.44679 | TV=0.00281
[NC][t=0][r=1] step 750/800 | CE=0.0000 | L1=0.44585 | TV=0.00285
[NC][t=0][r=1] step 800/800 | CE=0.0000 | L1=0.44484 | TV=0.00289
[NC][t=0][r=2] step 50/800 | CE=0.0000 | L1=0.49311 | TV=0.00081
[NC][t=0][r=2] step 100/800 | CE=0.0000 | L1=0.47872 | TV=0.00169
[NC][t=0][r=2] step 150/800 | CE=0.0000 | L1=0.46335 | TV=0.00251
[NC][t=0][r=2] step 200/800 | CE=0.0000 | L1=0.44697 | TV=0.00324
[NC][t=0][r=2] step 250/800 | CE=0.0000 | L1=0.42973 | TV=0.00388
[NC][t=0][r=2] step 300/800 | CE=0.0000 | L1=0.41182 | TV=0.00443
[NC][t=0][r=2] step 350/800 | CE=0.0000 | L1=0.39343 | TV=0.00489
[NC][t=0][r=2] step 400/800 | CE=0.0000 | L1=0.37474 | TV=0.00527
[NC][t=0][r=2] step 450/800 | CE=0.0000 | L1=0.35594 | TV=0.00557
[NC][t=0][r=2] step 500/800 | CE=0.0000 | L1=0.33721 | TV=0.00579
[NC][t=0][r=2] step 550/800 | CE=0.0000 | L1=0.32366 | TV=0.00592
[NC][t=0][r=2] step 600/800 | CE=0.0000 | L1=0.32170 | TV=0.00593
[NC][t=0][r=2] step 650/800 | CE=0.0000 | L1=0.31958 | TV=0.00595
[NC][t=0][r=2] step 700/800 | CE=0.0000 | L1=0.31729 | TV=0.00596
[NC][t=0][r=2] step 750/800 | CE=0.0000 | L1=0.31484 | TV=0.00598
[NC][t=0][r=2] step 800/800 | CE=0.0000 | L1=0.31221 | TV=0.00599
[NC][t=0] DONE | L1=0.204426 | TV=0.005287 | CE=0.0000
[NC][t=1][r=0] step 50/800 | CE=0.0000 | L1=0.47931 | TV=0.00139
[NC][t=1][r=0] step 100/800 | CE=0.0000 | L1=0.43535 | TV=0.00321
[NC][t=1][r=0] step 150/800 | CE=0.0000 | L1=0.39011 | TV=0.00443
[NC][t=1][r=0] step 200/800 | CE=0.0000 | L1=0.34660 | TV=0.00511
[NC][t=1][r=0] step 250/800 | CE=0.0000 | L1=0.30664 | TV=0.00539
[NC][t=1][r=0] step 300/800 | CE=0.0000 | L1=0.27082 | TV=0.00541
[NC][t=1][r=0] step 350/800 | CE=0.0000 | L1=0.23908 | TV=0.00527
[NC][t=1][r=0] step 400/800 | CE=0.0000 | L1=0.21108 | TV=0.00504
[NC][t=1][r=0] step 450/800 | CE=0.0000 | L1=0.18644 | TV=0.00474
[NC][t=1][r=0] step 500/800 | CE=0.0000 | L1=0.16476 | TV=0.00441
[NC][t=1][r=0] step 550/800 | CE=0.0000 | L1=0.15060 | TV=0.00417
[NC][t=1][r=0] step 600/800 | CE=0.0000 | L1=0.14865 | TV=0.00413
[NC][t=1][r=0] step 650/800 | CE=0.0000 | L1=0.14657 | TV=0.00409
[NC][t=1][r=0] step 700/800 | CE=0.0000 | L1=0.14436 | TV=0.00405
[NC][t=1][r=0] step 750/800 | CE=0.0000 | L1=0.14202 | TV=0.00400
[NC][t=1][r=0] step 800/800 | CE=0.0000 | L1=0.13955 | TV=0.00395
[NC][t=1][r=1] step 50/800 | CE=0.0000 | L1=0.49873 | TV=0.00071
[NC][t=1][r=1] step 100/800 | CE=0.0000 | L1=0.49473 | TV=0.00081
[NC][t=1][r=1] step 150/800 | CE=0.0000 | L1=0.49002 | TV=0.00103
[NC][t=1][r=1] step 200/800 | CE=0.0000 | L1=0.48481 | TV=0.00129
[NC][t=1][r=1] step 250/800 | CE=0.0000 | L1=0.47919 | TV=0.00157
[NC][t=1][r=1] step 300/800 | CE=0.0000 | L1=0.47315 | TV=0.00186
[NC][t=1][r=1] step 350/800 | CE=0.0000 | L1=0.46672 | TV=0.00215
[NC][t=1][r=1] step 400/800 | CE=0.0000 | L1=0.45989 | TV=0.00245
[NC][t=1][r=1] step 450/800 | CE=0.0000 | L1=0.45268 | TV=0.00274
[NC][t=1][r=1] step 500/800 | CE=0.0000 | L1=0.44508 | TV=0.00303
