=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 18:37:00 CST

==> Running train_attack_square_resnet_celeba_0.1_square_no_smooth_epoch30.pt
Start time: 2025年 08月 07日 星期四 18:37:00 CST
using fraction:  1
[NC][t=0][r=0] step 50/800 | CE=0.0000 | L1=0.49562 | TV=0.00063
[NC][t=0][r=0] step 100/800 | CE=0.0000 | L1=0.48581 | TV=0.00123
[NC][t=0][r=0] step 150/800 | CE=0.0000 | L1=0.47520 | TV=0.00186
[NC][t=0][r=0] step 200/800 | CE=0.0000 | L1=0.46374 | TV=0.00246
[NC][t=0][r=0] step 250/800 | CE=0.0000 | L1=0.45146 | TV=0.00302
[NC][t=0][r=0] step 300/800 | CE=0.0000 | L1=0.43842 | TV=0.00354
[NC][t=0][r=0] step 350/800 | CE=0.0000 | L1=0.42471 | TV=0.00402
[NC][t=0][r=0] step 400/800 | CE=0.0000 | L1=0.41045 | TV=0.00445
[NC][t=0][r=0] step 450/800 | CE=0.0000 | L1=0.39575 | TV=0.00482
[NC][t=0][r=0] step 500/800 | CE=0.0000 | L1=0.38074 | TV=0.00514
[NC][t=0][r=0] step 550/800 | CE=0.0000 | L1=0.36965 | TV=0.00534
[NC][t=0][r=0] step 600/800 | CE=0.0000 | L1=0.36802 | TV=0.00537
[NC][t=0][r=0] step 650/800 | CE=0.0000 | L1=0.36626 | TV=0.00540
[NC][t=0][r=0] step 700/800 | CE=0.0000 | L1=0.36436 | TV=0.00543
[NC][t=0][r=0] step 750/800 | CE=0.0000 | L1=0.36231 | TV=0.00546
[NC][t=0][r=0] step 800/800 | CE=0.0000 | L1=0.36011 | TV=0.00549
[NC][t=0][r=1] step 50/800 | CE=0.0000 | L1=0.45204 | TV=0.00234
[NC][t=0][r=1] step 100/800 | CE=0.0000 | L1=0.35821 | TV=0.00451
[NC][t=0][r=1] step 150/800 | CE=0.0000 | L1=0.28037 | TV=0.00497
[NC][t=0][r=1] step 200/800 | CE=0.0000 | L1=0.22008 | TV=0.00473
[NC][t=0][r=1] step 250/800 | CE=0.0000 | L1=0.17391 | TV=0.00424
[NC][t=0][r=1] step 300/800 | CE=0.0000 | L1=0.13862 | TV=0.00367
[NC][t=0][r=1] step 350/800 | CE=0.0000 | L1=0.11163 | TV=0.00311
[NC][t=0][r=1] step 400/800 | CE=0.0000 | L1=0.09086 | TV=0.00260
[NC][t=0][r=1] step 450/800 | CE=0.0000 | L1=0.07479 | TV=0.00216
[NC][t=0][r=1] step 500/800 | CE=0.0000 | L1=0.06233 | TV=0.00180
[NC][t=0][r=1] step 550/800 | CE=0.0000 | L1=0.05500 | TV=0.00157
[NC][t=0][r=1] step 600/800 | CE=0.0000 | L1=0.05404 | TV=0.00154
[NC][t=0][r=1] step 650/800 | CE=0.0000 | L1=0.05303 | TV=0.00151
